,Joueur,Numéro de maillot,Nation,Emplacement,Âge,Minutes,Buts,Passes décisives_x,Pénaltys marqués,Pénaltys tirés,Total des tirs ,Shots on Target,Cartons jaunes_x,Cartons rouges_x,Touches_x,Tacles_x,Interceptions_x,Balles contrées_x,xG: Expected Goals,npxG: xG sans les pénaltys,xAG: Expected Assisted Goals_x,Actions menant à un tir,Actions menant à un but,Passes réussies_x,Passes tentées_x,% de passes réussies_x,Passes progressives_x,Balle au pied_x,Possessions progressives_x,Dribbles tentés_x,Dribbles réussis_x,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes réussies_y,Passes tentées_y,% de passes réussies_y,Distance totale des passes,Distance parcourue vers l'attaque avec les passes,Passes réussies (Court),Passes tentées (Court),% de passes réussies (Court),Passes réussies (Moyen),Passes tentées (Moyen),% de passes réussies (Moyen),Passes réussies (Long),Passes tentées (Long),% de passes réussies (Long),Passes décisives_y,xAG: Expected Assisted Goals_y,xA: Expected Assists,Passes clés,Passes dans le dernier tiers du terrain,Passes dans la surface de réparation,Centres dans la surface de réparation,Passes progressives_y,Passes tentées,Live-ball Passes,Dead-ball Passes,Passes sur coups francs,Passe en profondeur,Transversales,Centres_x,Throw-ins Taken,Corners,Corners rentrants,Corners sortants,Corners droits,Passes réussies,Passes hors-jeux,Passes bloquées_x,Tacles_y,Tacles réussis_x,Tacles (ZDéf),Tacles (MilTer),Tacles (ZOff),Dribbleurs taclés,Dribbles mis en échec,% of Dribblers Tackled,Tacles manqués,Balles contrées_y,Tirs bloqués,Passes bloquées_y,Interceptions_y,Tcl+Int,Dégagements,Erreurs,Touches_y,Touches (SurfRépDéf),Touches (ZDéf),Touches (MilTer),Touches (ZOff),Touches (SurfRépOff),Touches (Ballon vivant),Dribbles tentés_y,Dribbles réussis_y,% de dribbles réussis,Nombre de fois où le joueur a été taclé,Pourcentage de tacles subis lors des tentatives de franchissement,Balle au pied_y,Distance totale parcourue avec le ballon,Distance parcourue vers l'attaque en portant la balle,Possessions progressives_y,Chevauchées dans le dernier tiers,Chevauchées dans la surface de réparation,Mauvais contrôle,Perte de balle,Passes reçues,Passes progressives reçues,Cartons jaunes_y,Cartons rouges_y,Deuxième carton jaune,Fautes commises,Fautes provoquées,Hors-jeux,Centres_y,Interceptions,Tacles réussis_y,Pénaltys réussis,Pénaltys concédés,But contre son camp,Récupérations de balle,Aerials Won,Aerials Lost,% of Aerials Won
8,Ivan Perišić,14,hr CRO,WB,33-185,25,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,6,9,66.7,0,3,2,0,0,361ca564,6fe90922,361ca564,4,33c895d4,1,6,9,66.7,187,18,1,3,33.3,3,3,100.0,2,3,66.7,0,0.0,0.0,0,0,1,1,0,9,8,1,0,0,0,2,1,0,0,0,0,6,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,12,2,2,5,5,2,12,0,0,,0,,3,60,27,2,0,1,0,1,6,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,
9,Emerson,12,br BRA,WB,23-204,86,0,1,0,0,3,0,0,0,70,3,0,2,0.2,0.2,0.2,5,2,47,57,82.5,5,30,5,3,2,361ca564,df8b52a5,361ca564,4,33c895d4,1,47,57,82.5,698,212,22,25,88.0,20,21,95.2,3,6,50.0,1,0.2,0.1,2,6,0,0,5,57,52,5,1,0,0,3,4,0,0,0,0,47,0,2,3,1,2,1,0,0,1,0.0,1,2,1,1,0,3,2,0,70,2,18,31,23,6,70,3,2,66.7,0,0.0,30,242,152,5,2,2,3,0,47,7,0,0,0,3,2,0,3,0,1,0,0,0,6,0,0,
10,Matt Doherty,2,ie IRL,WB,30-202,4,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,361ca564,d557d734,361ca564,4,33c895d4,1,1,3,33.3,14,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,4,2,3,1,0,0,4,0,0,,0,,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Ben Davies,33,wls WAL,CB,29-104,85,0,0,0,0,1,1,0,0,78,1,0,0,0.0,0.0,0.0,1,0,62,72,86.1,11,38,3,0,0,361ca564,44781702,361ca564,4,33c895d4,1,62,72,86.1,1242,546,17,20,85.0,33,37,89.2,10,10,100.0,0,0.0,0.0,1,5,1,1,11,72,72,0,0,0,1,2,0,0,0,0,0,62,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,4,0,78,4,28,40,10,1,78,0,0,,0,,38,224,154,3,4,0,0,1,66,4,0,0,0,1,0,0,2,0,1,0,0,0,3,4,4,50.0
12,Clément Lenglet,34,fr FRA,CB,27-050,5,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,6,100.0,1,4,0,0,0,361ca564,4f28a6ff,361ca564,4,33c895d4,1,6,6,100.0,131,54,2,2,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,9,2,4,5,0,0,9,0,0,,0,,4,26,21,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
13,Eric Dier,15,eng ENG,CB,28-203,90,1,0,0,0,1,1,0,0,67,0,1,0,0.1,0.1,0.0,0,0,55,63,87.3,2,29,0,0,0,361ca564,ac861941,361ca564,4,33c895d4,1,55,63,87.3,1273,565,14,17,82.4,23,23,100.0,17,21,81.0,0,0.0,0.0,0,0,0,0,2,63,61,2,1,0,1,0,0,0,0,0,0,55,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,67,8,33,34,1,1,67,0,0,,0,,29,144,70,0,0,0,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,50.0
14,Cristian Romero,17,ar ARG,CB,24-101,90,0,0,0,0,2,0,0,0,80,0,1,0,0.2,0.2,0.0,0,0,63,74,85.1,6,42,0,1,1,361ca564,a3d94a58,361ca564,4,33c895d4,1,63,74,85.1,1288,358,22,22,100.0,31,34,91.2,9,11,81.8,0,0.0,0.0,0,4,0,0,6,74,72,2,2,0,7,0,0,0,0,0,0,63,0,4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,0,80,5,32,38,10,3,80,1,1,100.0,0,0.0,42,165,106,0,1,0,0,0,60,1,0,0,0,1,0,0,0,1,0,0,0,0,7,4,2,66.7
15,Hugo Lloris,1,fr FRA,GK,35-223,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,19,20,95.0,0,9,0,0,0,361ca564,8f62b6ee,361ca564,4,33c895d4,1,19,20,95.0,466,271,5,5,100.0,9,9,100.0,5,6,83.3,0,0.0,0.0,0,0,0,0,0,20,14,6,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,18,21,0,0,0,21,0,0,,0,,9,49,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16,Adam Armstrong,9,eng ENG,FW,25-177,45,0,0,0,0,1,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,10,10,100.0,1,6,0,0,0,33c895d4,68c720b5,361ca564,4,33c895d4,1,10,10,100.0,151,7,6,6,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,10,7,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,13,0,0,8,5,0,13,0,0,,0,,6,15,9,0,0,0,1,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
17,Stuart Armstrong,17,sct SCO,"LM,FW",30-129,45,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,13,15,86.7,1,15,0,0,0,33c895d4,97333cf5,361ca564,4,33c895d4,1,13,15,86.7,154,0,12,12,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,15,15,0,0,0,0,0,0,0,0,0,0,13,0,1,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,0,0,18,0,4,4,11,0,18,0,0,,0,,15,57,9,0,0,0,1,3,15,3,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0.0
18,Joe Aribo,7,ng NGA,FW,26-016,90,0,0,0,0,1,1,0,0,33,1,1,0,0.0,0.0,0.0,1,0,16,21,76.2,1,17,0,3,1,33c895d4,328f7d51,361ca564,4,33c895d4,1,16,21,76.2,201,19,11,13,84.6,5,7,71.4,0,0,,0,0.0,0.0,0,0,0,0,1,21,19,2,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0,33,1,3,15,15,4,33,3,1,33.3,2,66.7,17,88,27,0,1,0,3,3,23,6,0,0,0,0,0,0,0,1,1,0,0,0,2,2,5,28.6
19,Oriol Romeu,6,es ESP,CM,30-316,74,0,0,0,0,0,0,0,0,37,1,1,1,0.0,0.0,0.0,3,0,28,30,93.3,4,18,2,1,1,33c895d4,4b511457,361ca564,4,33c895d4,1,28,30,93.3,453,79,10,11,90.9,15,16,93.8,2,2,100.0,0,0.0,0.2,0,0,2,0,4,30,30,0,0,0,0,1,0,0,0,0,0,28,0,0,1,0,0,1,0,0,0,,0,1,0,1,1,2,1,0,37,2,5,19,14,1,37,1,1,100.0,0,0.0,18,128,66,2,1,0,1,0,20,0,0,0,0,1,2,0,1,1,0,0,0,0,8,2,0,100.0
20,Ibrahima Diallo,27,fr FRA,CM,23-151,16,0,0,0,0,1,0,0,0,15,0,1,1,0.1,0.1,0.0,1,0,9,9,100.0,0,5,0,1,0,33c895d4,11ff3d56,361ca564,4,33c895d4,1,9,9,100.0,101,4,8,8,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,15,0,0,4,11,1,15,1,0,0.0,1,100.0,5,19,4,0,0,0,2,1,9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
21,Roméo Lavia,45,be BEL,CM,18-212,90,0,0,0,0,1,0,0,0,62,2,1,2,0.0,0.0,0.0,1,0,50,52,96.2,6,44,0,1,1,33c895d4,ecad9aa5,361ca564,4,33c895d4,1,50,52,96.2,851,304,22,22,100.0,25,26,96.2,3,3,100.0,0,0.0,0.0,0,10,1,0,6,52,52,0,0,0,0,0,0,0,0,0,0,50,0,1,2,1,1,1,0,2,2,100.0,0,2,0,2,1,3,1,0,62,2,14,39,11,0,62,1,1,100.0,0,0.0,44,163,67,0,1,0,0,1,42,1,0,0,0,0,4,0,0,1,1,0,0,0,13,0,0,
22,James Ward-Prowse,8,eng ENG,"CM,RM",27-278,90,1,0,0,0,2,1,0,0,52,2,1,0,0.1,0.1,0.2,3,0,34,45,75.6,4,25,1,0,0,33c895d4,3515d404,361ca564,4,33c895d4,1,34,45,75.6,575,187,19,20,95.0,12,16,75.0,3,5,60.0,0,0.2,0.1,4,7,3,1,4,45,41,4,2,1,0,7,0,2,1,1,0,34,0,3,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,0,0,52,1,5,14,33,4,52,0,0,,0,,25,113,57,1,0,0,0,0,37,3,0,0,0,0,0,0,7,1,1,0,0,0,1,0,1,0.0
23,Moussa Djenepo,19,ml MLI,LB,24-052,71,0,1,0,0,1,0,0,0,33,0,1,1,0.0,0.0,0.1,2,2,20,27,74.1,1,22,4,4,2,33c895d4,254147d4,361ca564,4,33c895d4,1,20,27,74.1,242,55,15,16,93.8,5,6,83.3,0,3,0.0,1,0.1,0.1,1,1,0,0,1,27,25,2,0,0,0,0,2,0,0,0,0,20,0,2,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,1,0,33,4,11,13,12,3,33,4,2,50.0,2,50.0,22,186,87,4,2,0,1,0,18,5,0,0,0,2,2,0,0,1,0,0,0,0,8,0,0,
24,Romain Perraud,15,fr FRA,LB,24-318,19,0,0,0,0,2,0,0,0,12,1,0,0,0.1,0.1,0.0,1,0,5,8,62.5,0,5,0,1,0,33c895d4,6dfd8f05,361ca564,4,33c895d4,1,5,8,62.5,48,13,5,5,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,8,6,2,1,0,0,2,1,0,0,0,0,5,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,12,0,0,0,12,3,12,1,0,0.0,0,0.0,5,20,11,0,1,0,0,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,
25,Mohammed Salisu,22,gh GHA,CB,23-111,90,0,0,0,0,1,0,0,0,72,2,3,4,0.1,0.1,0.0,2,0,42,54,77.8,7,31,0,4,2,33c895d4,0b33f6ad,361ca564,4,33c895d4,1,42,54,77.8,725,396,20,21,95.2,17,23,73.9,5,9,55.6,0,0.0,0.1,1,10,2,1,7,54,48,6,2,0,0,3,4,0,0,0,0,42,0,0,2,1,1,1,0,1,1,100.0,0,4,0,4,3,5,4,0,72,9,28,32,14,2,72,4,2,50.0,2,50.0,31,278,35,0,1,0,0,3,40,2,0,0,0,0,0,0,3,3,1,0,0,1,7,1,0,100.0
26,Jan Bednarek,35,pl POL,CB,26-116,90,0,0,0,0,0,0,0,0,60,0,2,1,0.0,0.0,0.1,2,0,47,52,90.4,1,27,0,0,0,33c895d4,4115ce4e,361ca564,4,33c895d4,1,47,52,90.4,867,254,16,16,100.0,29,31,93.5,2,4,50.0,0,0.1,0.1,2,2,0,0,1,52,48,4,4,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,2,3,0,60,10,27,30,3,2,60,0,0,,0,,27,87,13,0,0,0,0,0,35,1,0,0,0,0,0,0,0,2,0,0,0,0,7,2,3,40.0
27,Yan Valery,43,tn TUN,CB,23-165,45,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,15,23,65.2,0,17,0,0,0,33c895d4,531a4aa8,361ca564,4,33c895d4,1,15,23,65.2,213,39,9,10,90.0,4,6,66.7,1,5,20.0,0,0.0,0.0,0,1,0,0,0,23,23,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,28,3,7,18,3,0,28,0,0,,0,,17,91,18,0,1,0,1,3,20,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0
28,Jack Stephens,5,eng ENG,CB,28-191,45,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,0,0,23,27,85.2,3,16,3,0,0,33c895d4,6adbc307,361ca564,4,33c895d4,1,23,27,85.2,398,107,9,9,100.0,13,17,76.5,1,1,100.0,0,0.0,0.0,0,3,0,0,3,27,24,3,1,0,0,0,2,0,0,0,0,23,0,0,1,1,1,0,0,0,0,,0,1,1,0,1,2,2,0,31,4,7,16,8,0,31,0,0,,0,,16,135,86,3,2,0,0,1,25,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,100.0
29,Kyle Walker-Peters,2,eng ENG,RB,25-115,89,0,0,0,0,0,0,0,0,48,2,1,1,0.0,0.0,0.0,1,0,26,35,74.3,2,23,2,3,2,33c895d4,984a5a64,361ca564,4,33c895d4,1,26,35,74.3,336,70,20,22,90.9,6,9,66.7,0,2,0.0,0,0.0,0.0,0,1,2,0,2,35,30,5,0,0,0,3,5,0,0,0,0,26,0,2,2,0,1,0,1,0,1,0.0,1,1,1,0,1,3,5,0,48,7,12,15,22,2,48,3,2,66.7,0,0.0,23,157,42,2,1,1,2,1,28,5,0,0,0,0,2,0,3,1,0,0,0,0,2,2,2,50.0
30,Nathan Redmond,11,eng ENG,RB,28-153,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,33c895d4,ab651565,361ca564,4,33c895d4,1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
31,Gavin Bazunu,31,ie IRL,GK,20-167,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,13,36,36.1,0,27,0,0,0,33c895d4,c91441dc,361ca564,4,33c895d4,1,13,36,36.1,352,205,5,5,100.0,2,2,100.0,6,29,20.7,0,0.0,0.0,0,0,0,0,0,36,29,7,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,39,26,39,0,0,0,39,0,0,,0,,27,176,132,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
